comment,label
Our GR is very supportive and always helps the group stay organized.,1
GR communicates clearly and makes sure everyone understands their role.,1
They manage deadlines very well and keep the group on track.,1
GR listens to everyoneâ€™s opinion before making a decision.,1
They handle conflicts calmly and professionally.,1
Sometimes the GR responds late to important messages.,0
GR can be a bit strict when giving feedback.,0
Some tasks are not distributed equally by the GR.,0
"At times, GR seems busy and not fully focused on group discussions.",0
"GR occasionally delays updates, which creates confusion.",0
